alias,cluster_index,cluster_name
Conserved domain,2,Genomics & Genetic Engineering
Chemical space,7,Heterogeneous Catalysis & Materials
Enzyme gene,27,Metabolic Engineering & Synthetic Biology
Nuclear magnetic resonance (NMR),13,Industrial Chemistry & Chemical Engineering
Cellulase,0,Industrial Enzymes & Fungal Bioprocessing
Potassium (K),23,Environmental Engineering & Waste Management
Ribonucleic acid (RNA),12,Microbial Genetics & Synthetic Biology
Egg,16,Marine & Algal Natural Products
Sperm cell,6,Eukaryotic Cell Biology & Organelles
Biodiesel,10,Biorefinery Feedstocks & Biomass Processing
Biodiesel,12,Microbial Genetics & Synthetic Biology
Cellulosic ethanol,17,"Renewable Fuels, Policy & Emissions (SAF, RFS, etc.)"
Corn,11,Microbial & Algal Bioprocessing
Phosphorus (P),11,Microbial & Algal Bioprocessing
Pollutant,18,Biochemicals & Green Chemistry
Aldehyde,7,Heterogeneous Catalysis & Materials
Ketone,7,Heterogeneous Catalysis & Materials
Multi-carbon product,7,Heterogeneous Catalysis & Materials
Marine microalga,11,Microbial & Algal Bioprocessing
Tumor cell,12,Microbial Genetics & Synthetic Biology
Metal oxide,7,Heterogeneous Catalysis & Materials
Methane (CH4),5,Electrocatalysis & CO2 Conversion
Methanol (CH3OH),5,Electrocatalysis & CO2 Conversion
Phosphide,5,Electrocatalysis & CO2 Conversion
Phosphide,7,Heterogeneous Catalysis & Materials
Sulfide (S2-),5,Electrocatalysis & CO2 Conversion
Sulfide (S2-),7,Heterogeneous Catalysis & Materials
Titanium dioxide (TiO2),7,Heterogeneous Catalysis & Materials
Aromatic carbon,13,Industrial Chemistry & Chemical Engineering
Solid residue,13,Industrial Chemistry & Chemical Engineering
CO2 electroreduction,7,Heterogeneous Catalysis & Materials
Metal complex,7,Heterogeneous Catalysis & Materials
Organic molecule,1,Inorganic Chemistry & Small Molecule Catalysis
Chlamydomonas reinhardtii,2,Genomics & Genetic Engineering
Eukaryotic cell,6,Eukaryotic Cell Biology & Organelles
Nuclear genome,12,Microbial Genetics & Synthetic Biology
Uncharacterized protein,2,Genomics & Genetic Engineering
Hemicellulose,10,Biorefinery Feedstocks & Biomass Processing
Hydrogen atom (H),7,Heterogeneous Catalysis & Materials
Organocatalyst,7,Heterogeneous Catalysis & Materials
Transition metal complex,7,Heterogeneous Catalysis & Materials
Renewable energy,10,Biorefinery Feedstocks & Biomass Processing
Surfactant,13,Industrial Chemistry & Chemical Engineering
Cobalt catalyst (Co),7,Heterogeneous Catalysis & Materials
Molecular catalyst,7,Heterogeneous Catalysis & Materials
Carbon emission,17,"Renewable Fuels, Policy & Emissions (SAF, RFS, etc.)"
Carbon monoxide (CO),13,Industrial Chemistry & Chemical Engineering
Chemical feedstock,18,Biochemicals & Green Chemistry
Proton (H+),1,Inorganic Chemistry & Small Molecule Catalysis
Environmental factor,12,Microbial Genetics & Synthetic Biology
Alkane,27,Metabolic Engineering & Synthetic Biology
Furan compound,7,Heterogeneous Catalysis & Materials
Biomass-derived compound,7,Heterogeneous Catalysis & Materials
Furfural,11,Microbial & Algal Bioprocessing
Hydrocarbon product,13,Industrial Chemistry & Chemical Engineering
Levulinic acid (C5H8O3),18,Biochemicals & Green Chemistry
Triglyceride,7,Heterogeneous Catalysis & Materials
Membrane protein,3,Protein Structure & Cell Biology
Petroleum,18,Biochemicals & Green Chemistry
Research and development (R&D),18,Biochemicals & Green Chemistry
Chemocatalysis,18,Biochemicals & Green Chemistry
Electroreduction,7,Heterogeneous Catalysis & Materials
Potassium hydroxide (KOH),13,Industrial Chemistry & Chemical Engineering
Potassium hydroxide (KOH),7,Heterogeneous Catalysis & Materials
Principal component analysis (PCA),27,Metabolic Engineering & Synthetic Biology
By-product,11,Microbial & Algal Bioprocessing
Peptide,12,Microbial Genetics & Synthetic Biology
Natural product,18,Biochemicals & Green Chemistry
Biochar,14,Agricultural Residues & Biomass Valorization
5-Hydroxymethylfurfural (HMF),7,Heterogeneous Catalysis & Materials
Chloride (Cl-),13,Industrial Chemistry & Chemical Engineering
Chromium (Cr),1,Inorganic Chemistry & Small Molecule Catalysis
Fructose (C6H12O6),7,Heterogeneous Catalysis & Materials
Glucose (C6H12O6),0,Industrial Enzymes & Fungal Bioprocessing
Carbon dioxide (CO2),5,Electrocatalysis & CO2 Conversion
Cytochrome,2,Genomics & Genetic Engineering
Molecular electrocatalyst,1,Inorganic Chemistry & Small Molecule Catalysis
Multi-electron process,5,Electrocatalysis & CO2 Conversion
Enzymatic hydrolysis,11,Microbial & Algal Bioprocessing
Lignocellulosic feedstock,10,Biorefinery Feedstocks & Biomass Processing
Lignocellulosic feedstock,11,Microbial & Algal Bioprocessing
Lignin-derived compound,7,Heterogeneous Catalysis & Materials
Arable land,10,Biorefinery Feedstocks & Biomass Processing
Photosynthetic microorganism,10,Biorefinery Feedstocks & Biomass Processing
Butane (C4H10),27,Metabolic Engineering & Synthetic Biology
Oxidation product,13,Industrial Chemistry & Chemical Engineering
Primer,24,Genetic Elements & Regulatory Sequences
Propane (C3H8),2,Genomics & Genetic Engineering
Monooxygenase,27,Metabolic Engineering & Synthetic Biology
Oxidoreductase,27,Metabolic Engineering & Synthetic Biology
Secondary structure,21,Protein Complexes & Molecular Interactions
Food ingredient,16,Marine & Algal Natural Products
Immobilized enzyme,11,Microbial & Algal Bioprocessing
Astaxanthin,16,Marine & Algal Natural Products
Haematococcus pluvialis,16,Marine & Algal Natural Products
Phaffia rhodozyma (yeast),16,Marine & Algal Natural Products
Olefin,13,Industrial Chemistry & Chemical Engineering
Hydrothermal carbonization (HTC),23,Environmental Engineering & Waste Management
Composite,18,Biochemicals & Green Chemistry
Microorganism,11,Microbial & Algal Bioprocessing
Biomass-derived carbohydrate,18,Biochemicals & Green Chemistry
Glycerol (C3H8O3),18,Biochemicals & Green Chemistry
Glycerol carbonate (C4H6O4),18,Biochemicals & Green Chemistry
Glycerolipid,19,Lipid Metabolism & Fatty Acid Synthesis
Phytosterol,16,Marine & Algal Natural Products
Polyketide,12,Microbial Genetics & Synthetic Biology
Sophorolipid,16,Marine & Algal Natural Products
Sphingolipid,27,Metabolic Engineering & Synthetic Biology
Sterol,2,Genomics & Genetic Engineering
Acyl group,19,Lipid Metabolism & Fatty Acid Synthesis
Acylglycerol,11,Microbial & Algal Bioprocessing
Alkyl group,7,Heterogeneous Catalysis & Materials
Diacylglycerol,19,Lipid Metabolism & Fatty Acid Synthesis
Ester,18,Biochemicals & Green Chemistry
Fungus,12,Microbial Genetics & Synthetic Biology
Isoprene (C5H8),10,Biorefinery Feedstocks & Biomass Processing
Isoprenoid,12,Microbial Genetics & Synthetic Biology
Lipid molecule,19,Lipid Metabolism & Fatty Acid Synthesis
Marine organism,16,Marine & Algal Natural Products
Molecular species,11,Microbial & Algal Bioprocessing
Phospholipid,19,Lipid Metabolism & Fatty Acid Synthesis
Racemic mixture,7,Heterogeneous Catalysis & Materials
Decane (C10H22),1,Inorganic Chemistry & Small Molecule Catalysis
Phosphatidylethanolamine (PE),19,Lipid Metabolism & Fatty Acid Synthesis
Furan (C4H4O),13,Industrial Chemistry & Chemical Engineering
Acid catalyst,13,Industrial Chemistry & Chemical Engineering
Dimethyl sulfoxide (DMSO),7,Heterogeneous Catalysis & Materials
Hydrochloric acid (HCl),7,Heterogeneous Catalysis & Materials
Gold (Au),1,Inorganic Chemistry & Small Molecule Catalysis
Gold (Au),5,Electrocatalysis & CO2 Conversion
Gold (Au),7,Heterogeneous Catalysis & Materials
Gold nanoparticle (Au NP),7,Heterogeneous Catalysis & Materials
Oxide-derived material,5,Electrocatalysis & CO2 Conversion
Oxide-derived material,7,Heterogeneous Catalysis & Materials
Reagent,7,Heterogeneous Catalysis & Materials
Carbon material,13,Industrial Chemistry & Chemical Engineering
Sucrose (C12H22O11),13,Industrial Chemistry & Chemical Engineering
Proton,1,Inorganic Chemistry & Small Molecule Catalysis
Industrial product,10,Biorefinery Feedstocks & Biomass Processing
Lactone,7,Heterogeneous Catalysis & Materials
Carbonate (CO3^2-),13,Industrial Chemistry & Chemical Engineering
Epoxide,7,Heterogeneous Catalysis & Materials
Glutamic acid (L-Glu),27,Metabolic Engineering & Synthetic Biology
Lysine (C6H14N2O2),22,Genetic Engineering Tools & Expression Systems
Acrolein (C3H4O),18,Biochemicals & Green Chemistry
Amino acid,12,Microbial Genetics & Synthetic Biology
Diol,7,Heterogeneous Catalysis & Materials
Epichlorohydrin,7,Heterogeneous Catalysis & Materials
Hexose,18,Biochemicals & Green Chemistry
Polyethylene terephthalate (PET),13,Industrial Chemistry & Chemical Engineering
Corn ethanol,17,"Renewable Fuels, Policy & Emissions (SAF, RFS, etc.)"
Organelle,2,Genomics & Genetic Engineering
Trichoderma reesei,12,Microbial Genetics & Synthetic Biology
Eukaryote,27,Metabolic Engineering & Synthetic Biology
Gene promoter,4,Plant Cell Wall Enzymes & Carbohydrate Processing
Mammalian cell,12,Microbial Genetics & Synthetic Biology
Heterologous protein,12,Microbial Genetics & Synthetic Biology
Recombinant protein,12,Microbial Genetics & Synthetic Biology
Photocatalysis,5,Electrocatalysis & CO2 Conversion
Bird,13,Industrial Chemistry & Chemical Engineering
Differentially expressed gene,2,Genomics & Genetic Engineering
Homologous protein,2,Genomics & Genetic Engineering
Zinc (Zn),11,Microbial & Algal Bioprocessing
Silver (Ag),7,Heterogeneous Catalysis & Materials
Effluent,10,Biorefinery Feedstocks & Biomass Processing
Inorganic nitrogen,14,Agricultural Residues & Biomass Valorization
Organic compound,18,Biochemicals & Green Chemistry
Furfural (C5H4O2),18,Biochemicals & Green Chemistry
Dimethylacetamide (DMA),7,Heterogeneous Catalysis & Materials
Lithium chloride (LiCl),13,Industrial Chemistry & Chemical Engineering
Starch,18,Biochemicals & Green Chemistry
Starch,10,Biorefinery Feedstocks & Biomass Processing
Antibiotic,22,Genetic Engineering Tools & Expression Systems
Fat,10,Biorefinery Feedstocks & Biomass Processing
Oxygen (O2),7,Heterogeneous Catalysis & Materials
"Ribulose-1,5-bisphosphate carboxylase/oxygenase (RuBisCO)",8,Photosynthesis & Light-Harvesting
Carbon-concentrating mechanism (CCM),8,Photosynthesis & Light-Harvesting
Iron(II) ion (Fe2+),0,Industrial Enzymes & Fungal Bioprocessing
N-doped carbon,5,Electrocatalysis & CO2 Conversion
Metal catalyst,7,Heterogeneous Catalysis & Materials
Genotype,2,Genomics & Genetic Engineering
Nanomaterial,11,Microbial & Algal Bioprocessing
Acidic electrolyte,7,Heterogeneous Catalysis & Materials
Molybdenum (Mo),7,Heterogeneous Catalysis & Materials
Titanium (Ti),1,Inorganic Chemistry & Small Molecule Catalysis
Titanium (Ti),7,Heterogeneous Catalysis & Materials
Carbamate,7,Heterogeneous Catalysis & Materials
Formic acid (HCOOH),7,Heterogeneous Catalysis & Materials
Formate,7,Heterogeneous Catalysis & Materials
Carbonyl group,13,Industrial Chemistry & Chemical Engineering
Saccharide,13,Industrial Chemistry & Chemical Engineering
Binding site,7,Heterogeneous Catalysis & Materials
Transcription factor,2,Genomics & Genetic Engineering
Pyrolytic oil,23,Environmental Engineering & Waste Management
Aromatic alcohol,7,Heterogeneous Catalysis & Materials
Aromatic amino acid,27,Metabolic Engineering & Synthetic Biology
Beverage,10,Biorefinery Feedstocks & Biomass Processing
Carbonyl compound,1,Inorganic Chemistry & Small Molecule Catalysis
Grape,12,Microbial Genetics & Synthetic Biology
Isoamyl alcohol,13,Industrial Chemistry & Chemical Engineering
Isoleucine (C6H13NO2),27,Metabolic Engineering & Synthetic Biology
Isoleucine (C6H13NO2),22,Genetic Engineering Tools & Expression Systems
Leucine (C6H13NO2),27,Metabolic Engineering & Synthetic Biology
Leucine (C6H13NO2),12,Microbial Genetics & Synthetic Biology
Methionine (C5H11NO2S),22,Genetic Engineering Tools & Expression Systems
Phenylalanine (C9H11NO2),27,Metabolic Engineering & Synthetic Biology
Sulfide,1,Inorganic Chemistry & Small Molecule Catalysis
Tyrosine (C9H11NO3),27,Metabolic Engineering & Synthetic Biology
Valine (C5H11NO2),27,Metabolic Engineering & Synthetic Biology
Branched-chain amino acid (BCAA),27,Metabolic Engineering & Synthetic Biology
Dimethyl ether (C2H6O),18,Biochemicals & Green Chemistry
Petrochemical product,10,Biorefinery Feedstocks & Biomass Processing
Propylene (C3H6),13,Industrial Chemistry & Chemical Engineering
Inhibitor,11,Microbial & Algal Bioprocessing
Monolignol,11,Microbial & Algal Bioprocessing
Vanillin (C8H8O3),10,Biorefinery Feedstocks & Biomass Processing
Carboxyl group (COOH),13,Industrial Chemistry & Chemical Engineering
Potassium bicarbonate (KHCO3),5,Electrocatalysis & CO2 Conversion
C5 sugar,7,Heterogeneous Catalysis & Materials
Hexose (C6 sugar),1,Inorganic Chemistry & Small Molecule Catalysis
High-value product,18,Biochemicals & Green Chemistry
Copper nanoparticle,5,Electrocatalysis & CO2 Conversion
Hydrogen (H2) and Carbon Monoxide (CO),13,Industrial Chemistry & Chemical Engineering
Additive,18,Biochemicals & Green Chemistry
Additive,10,Biorefinery Feedstocks & Biomass Processing
Furan,18,Biochemicals & Green Chemistry
Furan,13,Industrial Chemistry & Chemical Engineering
Polyol,18,Biochemicals & Green Chemistry
Polyol,13,Industrial Chemistry & Chemical Engineering
Polyol,7,Heterogeneous Catalysis & Materials
Cation,1,Inorganic Chemistry & Small Molecule Catalysis
Coal,23,Environmental Engineering & Waste Management
Hydrocarbon compound,13,Industrial Chemistry & Chemical Engineering
Microbe,12,Microbial Genetics & Synthetic Biology
Pyrolysis product,23,Environmental Engineering & Waste Management
Metal-organic framework (MOF),5,Electrocatalysis & CO2 Conversion
Chlorophyll,16,Marine & Algal Natural Products
Dimethyl compound,7,Heterogeneous Catalysis & Materials
Food chain,10,Biorefinery Feedstocks & Biomass Processing
Nucleus,3,Protein Structure & Cell Biology
Essential gene,2,Genomics & Genetic Engineering
DNA fragment,27,Metabolic Engineering & Synthetic Biology
Genetic element,12,Microbial Genetics & Synthetic Biology
1-Propanol (n-Propanol),1,Inorganic Chemistry & Small Molecule Catalysis
Phenyl group,7,Heterogeneous Catalysis & Materials
1-Butyl-3-methylimidazolium chloride ([Bmim]Cl),7,Heterogeneous Catalysis & Materials
Acetone (C3H6O),18,Biochemicals & Green Chemistry
Acetone (C3H6O),13,Industrial Chemistry & Chemical Engineering
Trichoderma,12,Microbial Genetics & Synthetic Biology
Plant cell,12,Microbial Genetics & Synthetic Biology
Hemicellulase,11,Microbial & Algal Bioprocessing
Cytochrome P450,28,Cytochrome P450 & Redox Enzymes
Industrial enzyme,10,Biorefinery Feedstocks & Biomass Processing
Pectin,10,Biorefinery Feedstocks & Biomass Processing
Cupriavidus,27,Metabolic Engineering & Synthetic Biology
Manganese peroxidase (MnP),13,Industrial Chemistry & Chemical Engineering
Phenol (C6H5OH),1,Inorganic Chemistry & Small Molecule Catalysis
Phenol (C6H5OH),13,Industrial Chemistry & Chemical Engineering
Laccase,11,Microbial & Algal Bioprocessing
Carotenoid,16,Marine & Algal Natural Products
Pigment,16,Marine & Algal Natural Products
Cell protein,10,Biorefinery Feedstocks & Biomass Processing
Hybrid,13,Industrial Chemistry & Chemical Engineering
Nitrogen (N2),5,Electrocatalysis & CO2 Conversion
Acetate,7,Heterogeneous Catalysis & Materials
Archaeon,27,Metabolic Engineering & Synthetic Biology
Acetate kinase,27,Metabolic Engineering & Synthetic Biology
Formaldehyde (CH2O),1,Inorganic Chemistry & Small Molecule Catalysis
Citric acid (C6H8O7),12,Microbial Genetics & Synthetic Biology
Aspergillus niger (fungus),12,Microbial Genetics & Synthetic Biology
Open reading frame (ORF),4,Plant Cell Wall Enzymes & Carbohydrate Processing
Cellobiose (C12H22O11),11,Microbial & Algal Bioprocessing
Dichloromethane (CH2Cl2),13,Industrial Chemistry & Chemical Engineering
Monosaccharide,13,Industrial Chemistry & Chemical Engineering
Xylose,11,Microbial & Algal Bioprocessing
Inulin,13,Industrial Chemistry & Chemical Engineering
Xylan,11,Microbial & Algal Bioprocessing
Sodium (Na),23,Environmental Engineering & Waste Management
Methyl formate,13,Industrial Chemistry & Chemical Engineering
Copper (100) surface,1,Inorganic Chemistry & Small Molecule Catalysis
Copper (111) surface,1,Inorganic Chemistry & Small Molecule Catalysis
Zinc oxide (ZnO),7,Heterogeneous Catalysis & Materials
Chiral alcohol,7,Heterogeneous Catalysis & Materials
Chiral compound,7,Heterogeneous Catalysis & Materials
Escherichia coli (E. coli),27,Metabolic Engineering & Synthetic Biology
Fusion protein,4,Plant Cell Wall Enzymes & Carbohydrate Processing
Glycoside hydrolase (GH),4,Plant Cell Wall Enzymes & Carbohydrate Processing
Lytic polysaccharide monooxygenase (LPMO),0,Industrial Enzymes & Fungal Bioprocessing
Fungal genome,2,Genomics & Genetic Engineering
Lignin fragment,10,Biorefinery Feedstocks & Biomass Processing
Cerium (Ce),7,Heterogeneous Catalysis & Materials
Glycosyltransferase,2,Genomics & Genetic Engineering
Palladium (Pd),7,Heterogeneous Catalysis & Materials
Platinum (Pt),1,Inorganic Chemistry & Small Molecule Catalysis
Platinum (Pt),13,Industrial Chemistry & Chemical Engineering
Platinum (Pt),7,Heterogeneous Catalysis & Materials
Graphitic carbon nitride (g-C3N4),5,Electrocatalysis & CO2 Conversion
Gene,2,Genomics & Genetic Engineering
Gene,12,Microbial Genetics & Synthetic Biology
Copper catalyst (Cu),5,Electrocatalysis & CO2 Conversion
Copper catalyst (Cu),7,Heterogeneous Catalysis & Materials
Ecosystem,12,Microbial Genetics & Synthetic Biology
3-Hydroxypropionic acid (C3H6O3),27,Metabolic Engineering & Synthetic Biology
Succinic acid,18,Biochemicals & Green Chemistry
Addition,2,Genomics & Genetic Engineering
Human microbiome,2,Genomics & Genetic Engineering
Iron(II) carbonate (FeCO3),5,Electrocatalysis & CO2 Conversion
Water (H2O),1,Inorganic Chemistry & Small Molecule Catalysis
Antioxidant,16,Marine & Algal Natural Products
Vitamin,2,Genomics & Genetic Engineering
Amylose,4,Plant Cell Wall Enzymes & Carbohydrate Processing
Eukaryotic microalga,12,Microbial Genetics & Synthetic Biology
Photosynthetic electron transport,8,Photosynthesis & Light-Harvesting
Photosynthetic organism,12,Microbial Genetics & Synthetic Biology
Amylopectin,4,Plant Cell Wall Enzymes & Carbohydrate Processing
Fragrance,10,Biorefinery Feedstocks & Biomass Processing
Fragrance,18,Biochemicals & Green Chemistry
Cobalt (Co),7,Heterogeneous Catalysis & Materials
Earth-abundant element,5,Electrocatalysis & CO2 Conversion
Emission,17,"Renewable Fuels, Policy & Emissions (SAF, RFS, etc.)"
Genetic material,12,Microbial Genetics & Synthetic Biology
Cobalt complex,7,Heterogeneous Catalysis & Materials
Agricultural residue,23,Environmental Engineering & Waste Management
Enantioselective reaction,7,Heterogeneous Catalysis & Materials
Corn stover,14,Agricultural Residues & Biomass Valorization
Porphyrin,5,Electrocatalysis & CO2 Conversion
Carbon compound,13,Industrial Chemistry & Chemical Engineering
Metal nanoparticle,5,Electrocatalysis & CO2 Conversion
Metal nanoparticle,7,Heterogeneous Catalysis & Materials
Citrus,10,Biorefinery Feedstocks & Biomass Processing
Citrus,11,Microbial & Algal Bioprocessing
Electron,27,Metabolic Engineering & Synthetic Biology
Microbial fuel cell (MFC),18,Biochemicals & Green Chemistry
Aromatic hydrocarbon,23,Environmental Engineering & Waste Management
Zeolite catalyst,13,Industrial Chemistry & Chemical Engineering
Mitochondrion,6,Eukaryotic Cell Biology & Organelles
Butene (C4H8),13,Industrial Chemistry & Chemical Engineering
Nucleophile,7,Heterogeneous Catalysis & Materials
Carbonic acid (H2CO3),7,Heterogeneous Catalysis & Materials
Metal–ligand complex,7,Heterogeneous Catalysis & Materials
Heterolytic cleavage,1,Inorganic Chemistry & Small Molecule Catalysis
Homolytic cleavage,1,Inorganic Chemistry & Small Molecule Catalysis
Butanol (C4H9OH),10,Biorefinery Feedstocks & Biomass Processing
Yeast gene,6,Eukaryotic Cell Biology & Organelles
Cyanobacterium,16,Marine & Algal Natural Products
Methylethanolamine (MEA),13,Industrial Chemistry & Chemical Engineering
Amine,7,Heterogeneous Catalysis & Materials
Oxide catalyst,5,Electrocatalysis & CO2 Conversion
Oxide catalyst,7,Heterogeneous Catalysis & Materials
Siderophore,29,Photosynthetic Pigments & Plant/Algal Physiology
Carbon catalyst,13,Industrial Chemistry & Chemical Engineering
Sulfuric acid (H2SO4),14,Agricultural Residues & Biomass Valorization
Arabidopsis thaliana (plant),2,Genomics & Genetic Engineering
Schizosaccharomyces pombe (yeast),3,Protein Structure & Cell Biology
Protein product,12,Microbial Genetics & Synthetic Biology
Ethylene glycol (C2H6O2),13,Industrial Chemistry & Chemical Engineering
National Renewable Energy Laboratory (NREL),17,"Renewable Fuels, Policy & Emissions (SAF, RFS, etc.)"
Polyethylene glycol (PEG),7,Heterogeneous Catalysis & Materials
Enzymatic catalysis,18,Biochemicals & Green Chemistry
Biomass-derived chemical,18,Biochemicals & Green Chemistry
Gamma-valerolactone (GVL),7,Heterogeneous Catalysis & Materials
Ascorbate (Vitamin C),11,Microbial & Algal Bioprocessing
Cofactor,12,Microbial Genetics & Synthetic Biology
Electron paramagnetic resonance (EPR),5,Electrocatalysis & CO2 Conversion
Histidine (C6H9N3O2),11,Microbial & Algal Bioprocessing
Organic product,13,Industrial Chemistry & Chemical Engineering
1-Ethyl-3-methylimidazolium acetate (EMIM Ac),7,Heterogeneous Catalysis & Materials
Holocellulose,10,Biorefinery Feedstocks & Biomass Processing
Lignin fraction,13,Industrial Chemistry & Chemical Engineering
Softwood,14,Agricultural Residues & Biomass Valorization
Cell wall,10,Biorefinery Feedstocks & Biomass Processing
Soluble sugar,14,Agricultural Residues & Biomass Valorization
Acetic acid (CH3COOH),13,Industrial Chemistry & Chemical Engineering
Oleochemical,10,Biorefinery Feedstocks & Biomass Processing
Plant oil,10,Biorefinery Feedstocks & Biomass Processing
Humic substance,23,Environmental Engineering & Waste Management
Quinone,13,Industrial Chemistry & Chemical Engineering
Coenzyme A (CoA),27,Metabolic Engineering & Synthetic Biology
Phosphate,13,Industrial Chemistry & Chemical Engineering
Cytochrome P450 (CYP),28,Cytochrome P450 & Redox Enzymes
Mercury (Hg),1,Inorganic Chemistry & Small Molecule Catalysis
Nitrogen oxide (NOx),23,Environmental Engineering & Waste Management
Nitrous oxide (N2O),17,"Renewable Fuels, Policy & Emissions (SAF, RFS, etc.)"
Particulate,23,Environmental Engineering & Waste Management
Bubbling fluidized bed (BFB),23,Environmental Engineering & Waste Management
Syngas (Synthesis gas),18,Biochemicals & Green Chemistry
Surface structure,7,Heterogeneous Catalysis & Materials
Heat shock protein (HSP),22,Genetic Engineering Tools & Expression Systems
T cell,22,Genetic Engineering Tools & Expression Systems
Messenger RNA (mRNA),6,Eukaryotic Cell Biology & Organelles
Reactive oxygen species (ROS),11,Microbial & Algal Bioprocessing
Single cell,3,Protein Structure & Cell Biology
Enzymatic cellulose hydrolysis,10,Biorefinery Feedstocks & Biomass Processing
Zirconium dioxide (ZrO2),7,Heterogeneous Catalysis & Materials
Enzyme catalyst,18,Biochemicals & Green Chemistry
Mannose (C6H12O6),11,Microbial & Algal Bioprocessing
Silica (SiO2),13,Industrial Chemistry & Chemical Engineering
MCM-41 (mesoporous silica),13,Industrial Chemistry & Chemical Engineering
MCM-41 (mesoporous silica),7,Heterogeneous Catalysis & Materials
Tin (Sn),7,Heterogeneous Catalysis & Materials
Iron(III) ion (Fe3+),5,Electrocatalysis & CO2 Conversion
Fruit,16,Marine & Algal Natural Products
